Date,Forecasted Price,Lower Bound (95%),Upper Bound (95%)
2025-04-30,917.9548222976712,863.4767843966498,972.7064413012475
2025-05-31,789.2458636478977,729.6824164177987,847.7935094749422
2025-06-30,676.9531278060389,607.5416372058695,744.2899497489002
2025-07-31,1027.2465533164384,942.7838470503315,1110.8742770449815
2025-08-31,506.1385753400019,391.8417010403548,619.4426867511901
2025-09-30,990.2358433589258,836.1841206239111,1140.5772041700834
2025-10-31,1093.4588320505782,887.9235706511902,1293.1845748912654
2025-11-30,392.29827577820265,121.6053877495238,663.3046013266493
2025-12-31,1060.5663364275047,742.7057792088802,1369.079983247422
2026-01-31,812.7951286005513,422.9926571789407,1194.3042895814567
2026-02-28,896.6140423172855,440.48200708779444,1343.9181066433432
2026-03-31,906.6536638100623,378.4264136069789,1427.1399216377959
2026-04-30,1252.4534663389652,651.5029324416355,1844.4139467279372
2026-05-31,663.5005851751363,-28.667887537387024,1351.970389527442
2026-06-30,1193.7842045425944,446.5556684204913,1932.2596985902203
2026-07-31,1283.390523211466,457.3409755757842,2104.2190608090364
2026-08-31,631.0209019896911,-319.6364478904291,1578.8835891848148
2026-09-30,1228.5887130035803,211.2642759738658,2242.871847530742
2026-10-31,989.2536201876968,-142.26371814929763,2120.1325131262865
2026-11-30,856.8475265313556,-377.5205528545942,2087.031677542454
2026-12-31,1300.7856765503877,12.811213859588685,2587.452888007969
2027-01-31,616.0088716516735,-810.7397248945754,2048.2463337127556
2027-02-28,1086.5351183326236,-407.3717616639362,2582.4757256003227
2027-03-31,1283.4745537867966,-290.98760519649124,2861.7535032253854
